,jobtitle,employer,location,seniorityLevel,employmentType,jobFunction,industry,salaryRange,jobStatus,description
0,Senior Statistical Modeller (Data Scientist),Lowell,"Leeds, England, United Kingdom",Associate,Full-time,Engineering and Information Technology,"Information Technology and Services, Computer Software, and Financial Services",,Open,"[""About Lowell\n\nAs one of Europe's leading and most respected credit management companies, we believe in the importance of good relationships. Whether that’s with our customers or our people.\n\nWe want to listen to and understand our customers, not judge them, so that we can find the most affordable and fair ways to help them pay off their debts. Fairness runs through everything we do.\n\nWe believe our greatest assets are our people and we’re keen to develop teams who want to make a difference.\n\nSummary\n\nJob Description\n\nLocation: UK Wide. We’re based in Leeds but you don’t need to be.\n\nWe’re Lowell. You may not know us, but our reputation is growing. We believe that becoming debt free should be simple and affordable for everyone. Every year, we help thousands of people take control of their finances.\n\nWe buy debts from lots of different companies in all kinds of sectors. Our mission is to help customers on the path to becoming debt free; with a real focus on helping our customers pay off their debts in practical and affordable ways. We do this honestly, ethically and by treating our customers with dignity and respect.\n\nSo that’s us, now let’s talk about your role:\n\nYou'll deliver high-quality statistical and machine learning models for our UK business, including our Operations, Pricing & Investments, and Finance teams.\n\nIn Your Role, You’ll\nBuild, enhance, and maintain predictive models using the most appropriate statistical and machine learning methodologies\nDevelop a comprehensive understanding of Lowell’s core business model and identify opportunities to drive significant value through analytic intervention\nAddress a broad array of general business questions through data and logical inference, and provide ad hoc analytic support for operational projects and initiatives\nTranslate unstructured business problems into well-defined and tractable modelling projects\nHow we say thank you?\n\nBenefits\n\nSo, at Lowell we have a range of benefits that include\n\nAn exciting career is much more than just a salary. We also understand that everyone, regardless of culture, gender identity, religion, ethnicity, age, neurodiversity, or disability status, can contribute to our goal to make credit work better for all. Our strength is in our people.\nA discretionary annual bonus for a job well done.\nLife assurance, Private Medical Assurance & Group income protection.\nA fantastic culture with more little perks along the way including flexible working, family leave and recognition awards.\nWellbeing support, including THRIVE sessions, trained support officers, and regular webinars and classes geared towards mindfulness.\nIn Order To Make The Grade, You'll Have\nDirect experience building a variety of statistical models\nDemonstrated competency with one or more of logistic regression, generalised linear models, or categorical data analysis\nDemonstrated competency with one or more machine learning methods (e.g., neural network, k-means clustering).\nDirect experience using structured programming languages for statistical and/or numeric computing. We're looking for you to have experience of SQL along with one or more other programming languages such as PySpark/Databricks, Python, R, or Scala, cloud, Jupyter, or git.\nWe care about our customers, and we care about our colleagues too. At Lowell, we don’t just accept difference\u200a—\u200awe celebrate it, we support it, and we thrive on it for the benefit of our employees, our customers, and our community. We’re proud to be an equal opportunity workplace, as we know the more inclusive we are, the better our work will be.\n\nWe’re on the lookout for those who really want to make a difference. People who want to help our customers turn their finances around. People like you?\n\nTake the next step and apply""]"
1,Software Developer (Entry-Mid level),networx | Recruitment Software & Services,"Otley, England, United Kingdom",Mid-Senior level,Full-time,Information Technology and Business Development,Staffing and Recruiting and Information Technology and Services,,No longer accepting applications,"['Software Developer (Entry-Mid level)\nOtley, Leeds, West Yorkshire\nCompetitive\n\nThis is an exciting opportunity for an enthusiastic software developer to become a key member of our fast moving Software Development team. For those looking for a career in software Development, no prior experience is necessary as training will be provided where required. \n\nDeveloped using the latest code and technologies, we provide industry leading recruitment software and services to our customers. You will be responsible for helping us develop our software.\n\nAs part of the Development team, you will get exposure to the full technology stack including the latest code technologies while working in a fast moving environment where no two days are the same. \n\nThis is an ideal opportunity for someone with good programming skills who wants to kick start their career in software development. You will be involved in the full software development life cycle and develop business-critical features and services.\n\nWorking in the multi-disciplined Development team, day to day you will be:\nDeveloping enhancements to existing software features\nWorking from development specifications and with key stakeholders to develop new features\nTaking part in daily Scrum meetings\nResearching and developing with new technologies\n\nWhat we are looking for:\nWe are looking for you to have ambition to self learn and evolve your technical skills. You’ll be able to adjust quickly to changing priorities and help resolve complex problems. We will give you the time to develop your skills, all we ask for is willingness, passion and a drive to learn. \n\nEssential Skills:\nVB or C# .NET MVC web application development\nHTML / CSS / JavaScript / JQuery\nA drive and passion to self-learn\nA good understanding of technology\nOutstanding analytical and problem solving\n\nDesirable Skills:\nMicroservices\nAzure DevOps\nGit\nSQL Server\n\nBenefits:\nCompetitive salary\nOn the job training\nFriendly and supportive environment\nPersonal Development Time\nFree parking\nCompany pension scheme, 25 days holiday, gym membership discount, cycle scheme, etc.\nFlexible working (37.5 hours per week) \nRemote working where applicable.\n\nWe offer and encourage in house career progression through the wider IT and Development team. With the right passion and initiative you can progress your career within our business in a supportive and progressive team environment.\n\nThe Company\nSince our establishment in 2001, networx have been at the forefront of the recruitment industry.\n\nToday we are recognized as market leaders providing the latest recruitment software (ATS) and an agency style recruitment service that supports over 450 companies across the UK to reduce costs and improve the efficiency of their recruitment processes.\n\nWith a wealth of flexibility and advanced level of functionality to choose from, our recruitment software can be configured to reflect the needs of any organization; regardless of size or recruitment process.']"
2,Data Scientist,TransUnion,"Leeds, England, United Kingdom",Not Applicable,Full-time,Engineering and Information Technology,"Financial Services, Information Services, and Information Technology and Services",,Open,"[""About TransUnion\n\nWhat We'll Bring:\n\nTransUnion UK provides the data, analytics and software that enable businesses to build more valuable customer relationships.\n\nWe specialise in managing consumer data for businesses across every sector. We focus on developing innovative products and services that help businesses make smarter and more informed decisions throughout the customer lifecycle.\n\nWe are TransUnion and we believe in Information for Good.\n\nAbout The Role\n\nWhat You'll Bring:\n\nIn this role you will apply your data science skills to deliver new products and services, enhance existing propositions and conduct fundamental R&D into new approaches to provide our clients best in class solutions, ensuring the TU business remains at the forefront of the credit industry. Key applications will include fraud detection, real-time decisioning, credit risk & affordability decisioning and event-based triggers.\n\nKey Responsibilities\nYou will partner with internal and external cross-functional teams to drive new business initiatives and deliver long term value-added solutions to various TransUnion customers. These tasks will include –among others- the development of predictive models and business intelligence solutions of high complexity for customers within the various industries served by TransUnion.\nYou will lead client / product development engagements for DSA involving descriptive, predictive, and prescriptive aspects for a variety of business use cases leveraging multiple data science techniques. As a project leader, you will take ownership of all aspects of the project from design (including helping articulate and shape client needs that may, at first, not be clearly defined) and pre-mortem, to development, to peer review, to client presentation, to implementation and audit.\nYou will design and write programs for data extraction, segmentation, statistical / ML / AI analysis on large population datasets using languages such as R and Python. Where applicable you will work to develop such programs into packages/ libraries / workflows which can be shared across the TU DSA organization for the benefit of all.\nYou will identify strategies and opportunities for customers to test and adopt TransUnion’s data science capabilities and develop project proposals, sales presentations, and promotional collateral to enable the adoption of integrated customer solutions, applying your practical analytic experience to find areas of new value. In the context of these opportunities, you will interact directly with TransUnion sales and business unit partners and provide a data science perspective as needed.\nYou will deliver data science driven insights and recommendations in succinct and compelling presentations for internal and external customers representing a wide range of backgrounds and levels, including executive audiences.\nYou will provide mentorship and training to junior colleagues, maintain progress on all initiatives and make significant contributions to the TU DSA community.\nYou will foster a high-performance culture and cultivate an environment that promotes excellence and reflects the TransUnion brand.\nImpact You'll Make\n\nSkills & Experience:\nMaster's or PhD degree in statistics, applied mathematics, financial mathematics, engineering, operations research, or another highly quantitative field. A consistent track record of academic excellence.\nProfessional experience performing data science within financial services or related industries (e.g., fraud, identity).\nDeep professional expertise in one or more subject-matter areas or technical disciplines that would complement and significantly enhance TransUnion's existing data science capabilities. A consistent record of applying this expertise to achieve positive outcomes, and a drive to share with colleagues and business partners.\nOutstanding analytical, critical thinking, and creative problem-solving skills.\nAdvanced programming skills; mastery of R or Python; experience with other programming and data manipulation languages (e.g., SQL, C/C++, Java); proficiency with Linux and Microsoft Office tools.\nComprehensive predictive modelling / machine learning (ML) / artificial intelligence (AI) knowledge and experience; dimension reduction, feature generation / engineering, outlier detection, statistical techniques, supervised / un-supervised learning (e.g., ensemble modelling, neural networks / deep learning).\nKeen motivation for continued professional development, keeping abreast of the latest data science / ML / AI research and techniques, alongside applications within the industries served by TransUnion, such as financial services, insurance, fraud, or digital.\nVersatile interpersonal and communication style (including presenting compelling visualizations) with the ability to effectively influence at multiple levels within and outside the organization.\nStrong project and time management skills, managing effectively multiple assignments within a complex, fast-paced and dynamic environment; evidence of initiative-taking.\nWillingness to participate in client-facing consulting work (such as TU’s innovation labs), developing their understanding of our capabilities and appropriate ML / AI approaches to solve key business challenges; to include some travel at times.\nWhat’s in it for you?\n\nAt TransUnion you will be joining a friendly, forward thinking global business.\n\nAs well as a competitive salary, our benefits package includes 26 days’ annual leave (plus bank holidays) a generous contributory pension scheme, private health care and a host of other employee lifestyle benefits.\n\nWe take Corporate Social Responsibility seriously; our TU Good Works scheme supports communities around the world by advancing financial inclusion and education.\n\nRemote Interview & Hiring Process\n\nProtecting the health and wellness of our colleagues and candidates considering a career at TransUnion is our highest priority. Our recruitment and on-boarding experience for this role is fully virtual for the time being. Candidates interviewing will get to know our team over the phone and video, and this role will operate virtually upon hire until we return to the office. Even though we're not physically together right now, our goal is to provide you a supportive candidate and on-boarding experience that will immerse you in our culture and set you up for success at TransUnion\n\nTransUnion Job Title\n\nAdvisor, Data Science and Analytics""]"
3,Data Scientist,Corecom Consulting,"Leeds, England, United Kingdom",Mid-Senior level,Full-time,Information Technology,Information Technology and Services,,No longer accepting applications,"['2x Data Scientists / Leeds / up to £45,000 DOE / Remote and flexible working, Bonus, Generous holidays plus more…!\n Are you a Data Scientist who is focused on adding instant value to businesses? Are you driven by working in a project focused environment?\n\nCorecom Consulting has partnered with a leading Data Science company who are going through exponential growth due the appetite of their ever-growing client base, which includes SME’s and Blue chips. The business is run by Data / Analytics focused Directors who each have an excellent pedigree in their respective fields meaning that the scope to learn off the best is available on a daily basis!\n\nTheir offices are based in Leeds, but you will have scope to work remotely. Whilst they are open to flexible working, they would require someone to be relatively local as they require you to come into the office on a semi-regular basis once restrictions are lifted.\n\nWhat’s in it for you?\nBonus\n26 days holiday plus annual leave\nAppraisal based annual salary reviews\nExcellent training opportunities\nCareer progression opportunities\nPension\nFlexible working environment (office based and home working)\n\nWhat we need from you\nPython\nSQL\nExperience building models to understand customer behaviour\nExperience building regression models\nExperience building clustering models\nFactor analysis experience\n\nThey have invested heavily in the BI and Analytics team over the past year and are now seeking 2x Data Scientists to add further value to their client base. The Data team is focused on working on client accounts to ultimately help them increase their data capabilities, resulting in ROI. You would predominantly be working on new business accounts, therefore have plenty of exposure to project focused work, and thus, new technology and techniques.  \n\nThe hiring manager is keen to review CVs by Tuesday 17th August so please apply as soon as possible to avoid disappointment!\n 2x Data Scientists / Leeds / up to £45,000 DOE / Remote and flexible working, Bonus, Generous holidays plus more…!\n\n“At Corecom, we don’t just accept differences, we celebrate them and thrive on them for the benefit of our employees, our clients and our candidates. Internally, we thrive from our differences and want our employees to be proud to be themselves and proud to be Corecom. Externally, we utilise those differences to help our clients and candidates strive for a more diverse and inclusive world.”']"
4,Software Developer 3,Oracle,"Leeds, England, United Kingdom",Associate,Full-time,Engineering and Information Technology,"Information Technology and Services, Computer Software, and Financial Services",,Open,"['Job Description\n\nOracle’s Secure Global Desktop team designs, develops and sustains a scalable, distributed product that provides secure remote access to applications and desktops. We are now hiring a high -calibre Software Engineer to work on Cloud services.\n\nThe role is for a full-stack product developer and offers unparalleled opportunities to work with a broad range of technologies, from low-level programming to system integration, and on a wide variety of platforms. The software you will be working on is used by major global enterprises and there is a strong emphasis on quality.\n\nWorking with experienced engineers, you will contribute to the specification and design of new product features; you will be responsible for their implementation and testing. Using Agile techniques, you will regularly deliver incremental enhancements to the product to both on-premises and Cloud customers. The work is very varied, ranging from services running on highly-scalable virtualized servers to desktops and mobile devices. This is a core software development position and you will be expected to demonstrate a strong understanding of computer systems, programming and building software. Collaboration is an essential skill and you will actively participate in design discussions and code reviews with colleagues.\n\nMost of the development team is based in Leeds, UK, but we have remote workers and applications from candidates wishing to work remotely are welcome.\n\nCandidates Should Have\n\nRequirements:\nGraduate or post-graduate qualification in Computer Science or a closely related subject.\n4 years or more experience in commercial software development\nUnderstanding and appreciation of software structure with a strong design aesthetic\nStrong skills in Java, JavaScript, Python and web technologies\nDevOps skills, such as Git, Jenkins, Ansible and Kubernetes\nThe desire and ability to learn about technologies quickly\nKnowledge of HTTP and web socket networking protocols\nStrong analytical and debugging skills, with attention to detail\nA consistent and methodical approach to solving problems\nGood verbal and written communication skills, in English\nFlexibility, enthusiasm, drive and self-motivation\nThe desire and ability to learn quickly\nThe confidence to work independently and be comfortable working in a team\nKnowledge of and interest in the following would be advantageous:\nSkills in Cloud technologies\nC/C++ programming experience\nExperience developing products using security and authentication protocols, like TLS, SSH and SAML\nAgile development methodologies, such as Scrum and test-driven development\nModern development tools\nDesign, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.\n\nAs a member of the software engineering division, you will assist in defining and developing software for tasks associated with the developing, debugging or designing of software applications or operating systems. Provide technical leadership to other software developers. Specify, design and implement modest changes to existing software architecture to meet changing needs.\n\nDuties and tasks are varied and complex needing independent judgment. Fully competent in own area of expertise. May have project lead role and or supervise lower level personnel. BS or MS degree or equivalent experience relevant to functional area. 4 years of software engineering or related experience.\n\nAbout Us\n\nInnovation starts with inclusion at Oracle. We are committed to creating a workplace where all kinds of people can be themselves and do their best work. It’s when everyone’s voice is heard and valued, that we are inspired to go beyond what’s been done before. That’s why we need people with diverse backgrounds, beliefs, and abilities to help us create the future, and are proud to be an affirmative-action equal opportunity employer.\n\nOracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status, age, or any other characteristic protected by law. Oracle will consider for employment qualified applicants with arrest and conviction records pursuant to applicable law.']"
5,Software Developer 3,Oracle,"Leeds, England, United Kingdom",Associate,Full-time,Engineering and Information Technology,"Information Technology and Services, Computer Software, and Financial Services",,Open,"['Job Description\n\nThe role is for an engineer with skills and experience in web development and associated technologies. Working with experienced engineers, you will contribute to the specification and design of new components, both standalone and plugins within larger frameworks. You will be a key member of the team implementing and testing those components. Using Agile techniques, you will regularly deliver incremental enhancements to the product to both on-premises and Cloud customers. The work is very varied, ranging from services running on highly-scalable virtualized servers to desktops and mobile devices. This is a core software development position and you will be expected to demonstrate a strong understanding of computer systems, programming and building software. Collaboration is an essential skill and you will actively participate in design discussions and code reviews with colleagues. You will have opportunities to expand your skills to other parts of the product stack.\n\nRequirements\nUnderstanding and appreciation of software structure with a strong design aesthetic\nExperience with frameworks like React, Oracle Jet and jQuery\nStrong skills in HTML, JavaScript, Python and web technologies\nKnowledge of HTTP and web socket networking protocols\nExperience creating and using web-based services with RESTful APIs\nStrong analytical and debugging skills, with attention to detail\nA consistent and methodical approach to solving problems\nGood verbal and written communication skills, in English\nFlexibility, enthusiasm, drive and self-motivation\nThe desire and ability to learn quickly\nThe confidence to work independently and be comfortable working in a team\nDesign, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.\n\nAs a member of the software engineering division, you will assist in defining and developing software for tasks associated with the developing, debugging or designing of software applications or operating systems. Provide technical leadership to other software developers. Specify, design and implement modest changes to existing software architecture to meet changing needs.\n\nDuties and tasks are varied and complex needing independent judgment. Fully competent in own area of expertise. May have project lead role and or supervise lower level personnel. BS or MS degree or equivalent experience relevant to functional area. 4 years of software engineering or related experience.\n\nAbout Us\n\nInnovation starts with inclusion at Oracle. We are committed to creating a workplace where all kinds of people can be themselves and do their best work. It’s when everyone’s voice is heard and valued, that we are inspired to go beyond what’s been done before. That’s why we need people with diverse backgrounds, beliefs, and abilities to help us create the future, and are proud to be an affirmative-action equal opportunity employer.\n\nOracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status, age, or any other characteristic protected by law. Oracle will consider for employment qualified applicants with arrest and conviction records pursuant to applicable law.']"
6,Software Developer,Morrisons,"Bradford, England, United Kingdom",Associate,Full-time,Engineering and Information Technology,"Food & Beverages, Food Production, and Retail",,Open,"[""About The Role\n\nAre you a curious and pragmatic Developer with a passion for solving real world problems? If so, we’d love to speak with you. We’re looking for two experienced Full Stack Developers, to join our growing in-house Development teams. Morrisons is rapidly transforming into a Technology Driven supermarket, and we’re rapidly developing solutions to challenges we face every day, from both a customer and a colleagues perspective.\n\nIf you’ve got a track record working with organisations to solve problems at scale, and have a broad range of programming skills, Morrisons can offer you a fantastic platform on which to further your experience and a fast paced, ever changing environment that you will not only deliver at pace, but also expand your knowledge.\n\nWether you’ve got a desire to pursue React Native mobile applications, or have a keen interest in API’s / Services, if you are adaptable and resilient, we’ve got a place for you on the team.\n\nYou Will Also Be Responsible For\nUtilising your full stack engineering experience to help us solve real world problems.\nBecoming a key member of the internal development community, mentoring more junior developers.\nPartnering and engaging our third party suppliers both internally and off shore.\nBuilding and maintaining strong working relationships with both technology and business facing teams.\nAbout You\n\nYou will ideally have the following experience:\nA demonstrable track record acting as a full stack engineer within a large enterprise scale environment.\nStakeholder Management and influencing skills.\nHigh proficiency in a number of programming languages - React/JavaScript/Python/Java/PHP\nAbout The Company\n\nProud of our roots, Morrisons is a leading Yorkshire food retailer, serving 11 million customers across 500 stores a week. We’re also the UK’s second largest food manufacturer. Together, we make millions of products a year in our 18 manufacturing sites, allowing us to focus on what our customers want: good quality, fresh food and great value.\n\nOur people make Morrisons. We’re passionate about recognising diverse talent and building careers for our people. We’re forward-thinking and stay one step ahead in an ever-evolving industry, giving us exposure to creative initiatives which improve the offering to our customers.\n\nIn return for looking after our customers, we look after our people with great perks, lots of career opportunities and the training and support everyone needs to be the best they can be.\n\nWe pride ourselves on being a diverse and inclusive business and are committed to making Morrisons a brilliant place to work, harbouring an environment where our people can thrive.\n\nTreating all colleagues with respect and dignity is the Morrisons way - we celebrate individuality and love different perspectives. It’s what you bring to the table that matters.\n\nNew Ways of Working\n\nThe wellbeing of our colleagues is really important to us and we want everyone to have a great home and work life balance. Because of this we've introduced a four day working week for all full time colleagues based at our head office in Bradford.\n\nYou’ll be able to flex your working hours around the core hours of 10am-4pm, and can choose to do different hours each day as long as you’re covering these core hours. Each four day week will contain four average nine hour days.\n\nTo be more competitive and support our stores and sites more effectively, we now work over a six day operation, Monday to Saturday inclusive, and everyone in our head office now works one Saturday in every four (or 13 a year), albeit Saturday will be a shorter working day of 6 hours.\n\nYour non-working day will need to fit in with the business needs so more information about this and which day you'd take off will be discussed at your interview.""]"
7,Software Developer (happy to discuss flexible working and can be flexible on location),Grant Thornton UK LLP,"Leeds, England, United Kingdom",Not Applicable,Full-time,Engineering and Information Technology,"Information Technology and Services, Financial Services, and Accounting",,No longer accepting applications,"[""More than you expected\n\nGrant Thornton UK LLP is part of a global network of independent audit, tax and advisory firms, made up of some 58,000 people in over 135 countries. We're a team of independent thinkers who put quality, inclusion and integrity first. All around the world we bring a different experience to our clients. A better experience. One that delivers the expertise they need in a way that goes beyond. Personal, proactive, and agile. That's Grant Thornton.\n\nJob Description\n\nHappy to discuss flexible working and can be flexible on location\n\nLet’s talk about the job\n\nIf you enjoy working on a wide-reaching range of projects that will help businesses and communities flourish, you’ll fit right in. Here are some things you can expect from this Senior Software Developer role.\nMaking quality second nature. This means doing what’s right even when no one’s looking. The work that you will do has a major impact on our clients and our firm. We pride ourselves on the high-level standards we have for the work that we do.\nOwn your own work. You will develop, maintain and support software solutions that allow us to make best use of enterprise applications and data to solve business requirements and problems through optimisation, transformation and innovation.\nBe a part of a team: You will work alongside other people in the IS team and wider business\nTake responsibility. You’ll identify opportunities to innovate and contribute expertise to innovation initiatives, whilst establishing collaborative relationships with stakeholders and subject matter experts across the business. You will also:\nApply agreed architectural approaches and deign patterns and contribute to the evolution of these over time.\nContribute to the development, enhancement and continuous improvement of a DevOps culture\nFocus on quality and security, in line with our ISO certified governance processes.\nBuild your brand. Given the importance of the Senior Software Developer you will deliver on business requirement owning products/solutions individually and as part of a team\nThe minimum criteria\nDevelopment experience using C# and .Net framework (preferably including .Net Core). JavaScript/Typescript skills and knowledge of Bootstrap, Angular and NodeJS would be an advantage\nExperience using cloud platform capability as components in solutions, preferably serverless capabilities from the Microsoft Azure stack (such as Azure Service Bus, Azure API Manager, Azure Logic Apps and Azure Functions being an advantage)\nExperience integrating cloud-based enterprise applications (eg SaaS solutions) using APIs with good knowledge of integration frameworks and formats (eg JSON, XML)\nSkills to set you apart\n\nHere are a few more skills we are looking for. Don’t worry if you don’t tick every box. It’s important for us to support you in your role and help you to develop along the way.\n\nExpertise in back-end development and comfortable working on simple front-end capabilities and User Interfaces\n\nExperience writing web APIs as entry points to services and data, preferably with knowledge of Swagger/OpenAPI\n\nKnowledge of event driven and service/microservice architectures\n\nCapable communicator able to express technical issues in non-technical ways and adapt style to the audience\n\nDo you care about the same things we do?\n\nWe have six values we work by. When we meet, we’ll want you to show us how they’re important to you, too.\n\nCollaboration: We work together, share ideas and always make time to help each other out.\n\nLeadership: Everyone has the chance to lead their own projects.\n\nExcellence: Quality is central to our purpose. We love what we do, and it shows. We sweat the details. We see things through, no matter how tricky.\n\nAgility: The world moves quickly. To keep up, we stay flexible – changing approaches, changing projects, working offline, online, together and alone to get things done.\n\nRespect: A given, of course: we value each other and our clients. We listen, we understand, we care.\n\nResponsibility: The decisions we make and advice we give affects people’s lives and livelihoods. We take that seriously and always do well by doing what’s right.\n\nBring your whole self\n\nNow you’ve seen our values, it shouldn’t be a surprise that we’re creating a respectful, open, diverse place to work. Building an inclusive culture, where we value difference and respect our colleagues, is not just the right thing to do, it helps our people to perform at the best of their ability and realise their potential.\n\n“We are committed to making sure that the opportunities within our firm are equally accessible for everyone – regardless of background or gender.” Dave Dunckley, CEO\n\nThere’s more to life than work\n\nFamilies, children, sports, night classes…the things you do and the people you’re with outside work matter. They can inspire, motivate and energise you. Inside the office and out. So if you’d like to work flexibly, let us know. We’re happy to look at flexible working options for all our roles, and we’ll always do our best to keep your work and life in balance.\n\n#GTRO""]"
8,Front-End Software Developer,Hays,"Halifax, England, United Kingdom",Entry level,Full-time,Engineering and Information Technology,"Construction, Staffing and Recruiting, and Financial Services",,Open,"[""Your New Company\n\nHays are recruiting on behalf of a market leading organisation who use Digital Technology to support their business across the UK.\n\nYour new role\nProduce elegant and simple code in delivery of engaging web solutions\nCreating innovative solutions to web design issues to enhance both the usability and appearance of web solutions\nMaintain, improve and extend the current software stack with new functionalities, being part of a development team using Agile principles to continuously improve.\nSolving complex business needs by building, testing and documenting software according adhering to best Devops best practices where possible\nHelp to grow apprentice / junior developers by applying coaching and mentoring techniques whilst contributing to advancing the team’s overall capability and culture.\nAssist the product owner in converting high level requirements into smaller work packages\nWhat You'll Need To Succeed\nStrong proficiency in HTML, CSS, SASS and JavaScript.\nGood knowledge of JS frameworks, ideally Vue.js\nExposure to frontend pipeline tools (Webpack, NPM, etc)\nExperience of building responsive user interfaces\nStrong project management and software delivery experience\nWhat You Need To Do Now\n\nIf you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or call us now.\n\nIf this job isn't quite right for you but you are looking for a new position, please contact us for a confidential discussion on your career. #3944907""]"
9,Software Engineer,FDM Group,"Leeds, England, United Kingdom",Entry level,Full-time,Information Technology and Consulting,Information Technology and Services,,Open,"['Your career starts here.\n\nInterested in planning and delivering technology solutions along with developing your ability to write code? FDM’s software developer graduate programme will help you become a successful Microsoft .NET or Java developer and provides the opportunity to progress in a career within a wide variety of sectors.\n\nEverybody tells you that technology is the world’s fastest growing industry, but what if you could really see for yourself? If you think a career in tech is just about coding, think again. Some of our consultants are currently working on exciting advancements in technology, including robotics, automation and more.\n\nFDM is an award-winning graduate employer. We’re passionate about kick-starting graduate careers in technology and support you every step of the way. When you become an FDMer, you’ll be trained to the latest industry standards at our FDM Leeds Academy, situated in the city centre. You’ll then be placed on-site with one or more of our prestigious clients within a commutable distance of the Leeds Academy for a minimum of two years. It doesn’t stop there, many of our consultants go on to work permanently with the client, work internally at FDM or choose a different pathway using the connections and experience they’ve gained. If you’re looking for a fast-paced role with excellent career progression, look no further.\n\nOver 3,700 FDM consultants are currently placed with our clients, working in a variety of roles including; Software Development, Business Intelligence, IT Service Management and Software Testing. We work with clients all around the world including HSBC, Virgin, Lloyds, Shell and Sky to name a few. Your opportunity to make an impact in the industry starts here.\n\n7 reasons why FDM is for you:\n\nYou’ll receive commercially relevant training e.g. SQL and Linux (UNIX) and have access to industry-recognised qualifications\nYou’ll receive excellent employee benefits, including the prestigious ‘Consultant of the Month award’ and the option to join FDM’s buy-as-you-earn share scheme\nYou’ll receive development employability skills including Microsoft Excel, CV writing, interview and presentation techniques\nYou’ll work in an exciting career with some of the world’s most reputable organisations, within a market that is constantly evolving\nYou will have the opportunity to attend social, networking and development opportunities \nWe have locations across the UK and beyond\nYou’ll receive individual mentoring and ongoing support throughout your entire FDM journey\n The ideal FDMer has:\n\nAn analytical, curious and creative mindset\nA passion for tech\nThe ability to solve problems within a fast-paced environment\nStrong attention to detail\nA desire to learn new software languages\nClear communication skills and the ability to work with people across all departments\nA degree, preferably within a STEM discipline but all degrees considered\nCommitment to a two-year contract with FDM upon completion of the training period\n\nThe tech industry is constantly evolving and continuously needs new developers to take over critical tasks. With assessment centres running all year round and multiple start dates available, make an application today and see where your career will take you!\n\nPlease note, applying for this role does not guarantee a place on this particular programme, you will be assessed at the assessment day to align you to a best suited role for your skillset. There are other roles available including; Software Testing, IT Service Management and Business Intelligence.\n Apply now']"
